"","case_id","charge_count","charge_disposition","sentence_court_name","length_of_case_in_days","age_at_incident","gender","offense_category","days_incident_arrest","sentence","convicted_chicago"
"1",681465569236,1,"Plea Of Guilty","District 5 - Bridgeview",277,43,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"2",662559611647,1,"Plea Of Guilty","District 5 - Bridgeview",7,37,"Male","Fraudulent_ID",0,"Non-detention","ja"
"3",675630121116,2,"Plea Of Guilty","District 1 - Chicago",349,21,"Male","Narcotics",0,"Non-detention","ja"
"4",700642555941,1,"Plea Of Guilty","District 1 - Chicago",409,28,"Male","Narcotics",0,"Detention","ja"
"5",694255857953,1,"Plea Of Guilty","District 1 - Chicago",26,33,"Male","Retail_Theft",17,"Detention","ja"
"6",664091385726,1,"Plea Of Guilty","District 1 - Chicago",254,18,"Male","Sex_Crimes",0,"Detention","ja"
"7",675319344377,2,"Plea Of Guilty","District 1 - Chicago",589,31,"Male","Narcotics",20,"Detention","ja"
"8",687022287140,1,"Plea Of Guilty","District 1 - Chicago",267,44,"Male","Retail_Theft",0,"Detention","ja"
"9",663811413396,1,"Plea Of Guilty","District 1 - Chicago",178,29,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Detention","ja"
"10",687282137236,1,"Plea Of Guilty","District 4 - Maywood",83,23,"Male","Narcotics",0,"Non-detention","nee"
"11",686606924465,1,"Plea Of Guilty","District 1 - Chicago",224,59,"Male","Narcotics",0,"Non-detention","ja"
"12",700740434466,2,"Plea Of Guilty","District 1 - Chicago",42,29,"Male","Narcotics",0,"Detention","ja"
"13",643002041438,1,"Plea Of Guilty","District 1 - Chicago",557,52,"Male","Narcotics",0,"Detention","ja"
"14",684536570074,4,"Plea Of Guilty","District 1 - Chicago",255,23,"Female","Narcotics",0,"Detention","ja"
"15",678008768019,2,"Plea Of Guilty","District 6 - Markham",879,28,"Male","Narcotics",0,"Non-detention","nee"
"16",702201904934,1,"Plea Of Guilty","District 5 - Bridgeview",22,27,"Female","Possession_of_Stolen_Motor_Vehicle",0,"Detention","ja"
"17",673640007242,1,"Plea Of Guilty","District 1 - Chicago",0,23,"Male","Narcotics",0,"Non-detention","ja"
"18",677080909410,1,"Plea Of Guilty","District 1 - Chicago",121,46,"Female","Narcotics",0,"Non-detention","ja"
"19",666224094202,1,"Plea Of Guilty","District 1 - Chicago",37,54,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Detention","ja"
"20",657954104081,1,"Plea Of Guilty","District 1 - Chicago",818,30,"Male","Aggravated_Robbery",4,"Detention","ja"
"21",700035162554,1,"Plea Of Guilty","District 1 - Chicago",20,27,"Male","Narcotics",0,"Detention","ja"
"22",661232786257,1,"Plea Of Guilty","District 1 - Chicago",220,23,"Male","Aggravated_DUI",0,"Non-detention","nee"
"23",657889514192,1,"Plea Of Guilty","District 1 - Chicago",36,27,"Male","Aggravated_DUI",0,"Non-detention","ja"
